DateKey,Date,Day,DayName,DayOfWeekNumber,WeekOfYear,MonthNumber,MonthName,MonthShort,Quarter,Year,YearMonth,MonthYear,FinancialYear,FinancialQuarter,IsWeekend,Season,IsMonthEnd
20220213,2022-02-13,13,Sunday,7,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220214,2022-02-14,14,Monday,1,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220215,2022-02-15,15,Tuesday,2,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220216,2022-02-16,16,Wednesday,3,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220217,2022-02-17,17,Thursday,4,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220218,2022-02-18,18,Friday,5,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220219,2022-02-19,19,Saturday,6,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220220,2022-02-20,20,Sunday,7,7,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220221,2022-02-21,21,Monday,1,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220222,2022-02-22,22,Tuesday,2,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220223,2022-02-23,23,Wednesday,3,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220224,2022-02-24,24,Thursday,4,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220225,2022-02-25,25,Friday,5,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220226,2022-02-26,26,Saturday,6,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220227,2022-02-27,27,Sunday,7,8,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220228,2022-02-28,28,Monday,1,9,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,Yes
20220301,2022-03-01,1,Tuesday,2,9,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220302,2022-03-02,2,Wednesday,3,9,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220303,2022-03-03,3,Thursday,4,9,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220304,2022-03-04,4,Friday,5,9,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220305,2022-03-05,5,Saturday,6,9,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220306,2022-03-06,6,Sunday,7,9,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220307,2022-03-07,7,Monday,1,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220308,2022-03-08,8,Tuesday,2,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220309,2022-03-09,9,Wednesday,3,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220310,2022-03-10,10,Thursday,4,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220311,2022-03-11,11,Friday,5,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220312,2022-03-12,12,Saturday,6,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220313,2022-03-13,13,Sunday,7,10,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220314,2022-03-14,14,Monday,1,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220315,2022-03-15,15,Tuesday,2,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220316,2022-03-16,16,Wednesday,3,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220317,2022-03-17,17,Thursday,4,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220318,2022-03-18,18,Friday,5,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220319,2022-03-19,19,Saturday,6,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220320,2022-03-20,20,Sunday,7,11,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220321,2022-03-21,21,Monday,1,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220322,2022-03-22,22,Tuesday,2,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220323,2022-03-23,23,Wednesday,3,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220324,2022-03-24,24,Thursday,4,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220325,2022-03-25,25,Friday,5,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220326,2022-03-26,26,Saturday,6,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220327,2022-03-27,27,Sunday,7,12,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,Yes,Spring,No
20220328,2022-03-28,28,Monday,1,13,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220329,2022-03-29,29,Tuesday,2,13,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220330,2022-03-30,30,Wednesday,3,13,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,No
20220331,2022-03-31,31,Thursday,4,13,3,March,Mar,Q1,2022,2022-03,Mar 2022,2021/22,FQ4,No,Spring,Yes
20220401,2022-04-01,1,Friday,5,13,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220402,2022-04-02,2,Saturday,6,13,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220403,2022-04-03,3,Sunday,7,13,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220404,2022-04-04,4,Monday,1,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220405,2022-04-05,5,Tuesday,2,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220406,2022-04-06,6,Wednesday,3,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220407,2022-04-07,7,Thursday,4,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220408,2022-04-08,8,Friday,5,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220409,2022-04-09,9,Saturday,6,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220410,2022-04-10,10,Sunday,7,14,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220411,2022-04-11,11,Monday,1,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220412,2022-04-12,12,Tuesday,2,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220413,2022-04-13,13,Wednesday,3,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220414,2022-04-14,14,Thursday,4,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220415,2022-04-15,15,Friday,5,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220416,2022-04-16,16,Saturday,6,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220417,2022-04-17,17,Sunday,7,15,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220418,2022-04-18,18,Monday,1,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220419,2022-04-19,19,Tuesday,2,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220420,2022-04-20,20,Wednesday,3,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220421,2022-04-21,21,Thursday,4,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220422,2022-04-22,22,Friday,5,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220423,2022-04-23,23,Saturday,6,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220424,2022-04-24,24,Sunday,7,16,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,No
20220425,2022-04-25,25,Monday,1,17,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220426,2022-04-26,26,Tuesday,2,17,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220427,2022-04-27,27,Wednesday,3,17,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220428,2022-04-28,28,Thursday,4,17,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220429,2022-04-29,29,Friday,5,17,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,No,Spring,No
20220430,2022-04-30,30,Saturday,6,17,4,April,Apr,Q2,2022,2022-04,Apr 2022,2022/23,FQ1,Yes,Spring,Yes
20220501,2022-05-01,1,Sunday,7,17,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220502,2022-05-02,2,Monday,1,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220503,2022-05-03,3,Tuesday,2,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220504,2022-05-04,4,Wednesday,3,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220505,2022-05-05,5,Thursday,4,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220506,2022-05-06,6,Friday,5,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220507,2022-05-07,7,Saturday,6,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220508,2022-05-08,8,Sunday,7,18,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220509,2022-05-09,9,Monday,1,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220510,2022-05-10,10,Tuesday,2,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220511,2022-05-11,11,Wednesday,3,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220512,2022-05-12,12,Thursday,4,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220513,2022-05-13,13,Friday,5,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220514,2022-05-14,14,Saturday,6,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220515,2022-05-15,15,Sunday,7,19,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220516,2022-05-16,16,Monday,1,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220517,2022-05-17,17,Tuesday,2,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220518,2022-05-18,18,Wednesday,3,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220519,2022-05-19,19,Thursday,4,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220520,2022-05-20,20,Friday,5,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220521,2022-05-21,21,Saturday,6,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220522,2022-05-22,22,Sunday,7,20,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220523,2022-05-23,23,Monday,1,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220524,2022-05-24,24,Tuesday,2,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220525,2022-05-25,25,Wednesday,3,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220526,2022-05-26,26,Thursday,4,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220527,2022-05-27,27,Friday,5,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220528,2022-05-28,28,Saturday,6,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220529,2022-05-29,29,Sunday,7,21,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,Yes,Spring,No
20220530,2022-05-30,30,Monday,1,22,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,No
20220531,2022-05-31,31,Tuesday,2,22,5,May,May,Q2,2022,2022-05,May 2022,2022/23,FQ1,No,Spring,Yes
20220601,2022-06-01,1,Wednesday,3,22,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220602,2022-06-02,2,Thursday,4,22,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220603,2022-06-03,3,Friday,5,22,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220604,2022-06-04,4,Saturday,6,22,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220605,2022-06-05,5,Sunday,7,22,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220606,2022-06-06,6,Monday,1,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220607,2022-06-07,7,Tuesday,2,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220608,2022-06-08,8,Wednesday,3,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220609,2022-06-09,9,Thursday,4,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220610,2022-06-10,10,Friday,5,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220611,2022-06-11,11,Saturday,6,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220612,2022-06-12,12,Sunday,7,23,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220613,2022-06-13,13,Monday,1,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220614,2022-06-14,14,Tuesday,2,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220615,2022-06-15,15,Wednesday,3,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220616,2022-06-16,16,Thursday,4,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220617,2022-06-17,17,Friday,5,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220618,2022-06-18,18,Saturday,6,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220619,2022-06-19,19,Sunday,7,24,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220620,2022-06-20,20,Monday,1,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220621,2022-06-21,21,Tuesday,2,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220622,2022-06-22,22,Wednesday,3,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220623,2022-06-23,23,Thursday,4,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220624,2022-06-24,24,Friday,5,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220625,2022-06-25,25,Saturday,6,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220626,2022-06-26,26,Sunday,7,25,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,Yes,Summer,No
20220627,2022-06-27,27,Monday,1,26,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220628,2022-06-28,28,Tuesday,2,26,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220629,2022-06-29,29,Wednesday,3,26,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,No
20220630,2022-06-30,30,Thursday,4,26,6,June,Jun,Q2,2022,2022-06,Jun 2022,2022/23,FQ1,No,Summer,Yes
20220701,2022-07-01,1,Friday,5,26,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220702,2022-07-02,2,Saturday,6,26,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220703,2022-07-03,3,Sunday,7,26,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220704,2022-07-04,4,Monday,1,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220705,2022-07-05,5,Tuesday,2,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220706,2022-07-06,6,Wednesday,3,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220707,2022-07-07,7,Thursday,4,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220708,2022-07-08,8,Friday,5,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220709,2022-07-09,9,Saturday,6,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220710,2022-07-10,10,Sunday,7,27,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220711,2022-07-11,11,Monday,1,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220712,2022-07-12,12,Tuesday,2,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220713,2022-07-13,13,Wednesday,3,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220714,2022-07-14,14,Thursday,4,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220715,2022-07-15,15,Friday,5,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220716,2022-07-16,16,Saturday,6,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220717,2022-07-17,17,Sunday,7,28,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220718,2022-07-18,18,Monday,1,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220719,2022-07-19,19,Tuesday,2,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220720,2022-07-20,20,Wednesday,3,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220721,2022-07-21,21,Thursday,4,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220722,2022-07-22,22,Friday,5,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,No,Summer,No
20220723,2022-07-23,23,Saturday,6,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
20220724,2022-07-24,24,Sunday,7,29,7,July,Jul,Q3,2022,2022-07,Jul 2022,2022/23,FQ2,Yes,Summer,No
